Security Id,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
TEXINFRA,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
TEXRAIL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
THANGAMAYL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
ANUP,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
THEINVEST,Financial Services,Financial Services,Finance,Other Financial Services
NIACL,Financial Services,Financial Services,Insurance,General Insurance
PHOENIXLTD,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
RAMCOCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
THEMISMED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
THERMAX,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
TIRUMALCHM,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
THOMASCOOK,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
THOMASCOTT,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
TATACHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
THYROCARE,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
TIL,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
TI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
TIMETECHNO,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
TEGA,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
TIPSFILMS,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
TIPSMUSIC,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
TITAGARH,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons
TITAN,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
TOKYOPLAST,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
TOLINS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
TORNTPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
